Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Myanmar,2001,mmr,45771139,27.338203957382042,MMR,199559360,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,2001,nam,1857048,21.668853893263343,NAM,14465599,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nepal,2001,npl,24946748,18.886567626121945,NPL,44496988,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
New Zealand,2001,nzl,3891762,15.439087848178758,NZL,111580610,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nicaragua,2001,nic,5087825,27.817918192918196,NIC,79660984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Nigeria,2001,nga,129862595,28.417200854700855,NGA,542853500,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Norway,2001,nor,4513657,4.686453576864536,NOR,74094490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oman,2001,omn,2310217,28.520694046482014,OMN,52036536,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,2001,pak,159270907,24.724969474969477,PAK,285480220,5,1,1,0,0,1,0,0,1,0,0,0,0,0,1
Panama,2001,pan,3069537,26.863942454851546,PAN,25155784,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peru,2001,per,26964601,18.427303336394246,PER,148581340,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0
Philippines,2001,phl,81401488,27.95638200183655,PHL,175883400,8,0,0,0,0,2,2,0,0,0,0,4,0,0,0
Poland,2001,pol,38247357,8.388432267884323,POL,386806270,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Portugal,2001,prt,10354325,16.788432267884325,PRT,82323660,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Qatar,2001,qat,677925,28.326027397260276,QAT,79772480,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,2001,rou,21919917,11.659969558599697,ROU,127752936,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,2001,rus,146117284,9.20228310502283,RUS,1858479900,7,2,0,0,0,0,0,2,0,1,2,0,0,0,0
Saudi Arabia,2001,sau,17041397,26.821825941167507,SAU,404558530,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senegal,2001,sen,10212942,24.961339421613395,SEN,17143144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,2001,sle,4692716,NA,SLE,46774110,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,2001,zaf,47566800,16.74703196347032,ZAF,502075680,4,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Spain,2001,esp,41245599,14.785388127853881,ESP,371373400,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sri Lanka,2001,lka,19600362,27.26104972375691,LKA,31045786,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Suriname,2001,sur,486560,26.410282953761214,SUR,5021253.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,2001,swe,8896022,7.629680365296804,SWE,79393460,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Switzerland,2001,che,7226391,10.128021531586432,CHE,53869864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan (Province of China),2001,twn,22446257,23.181677499226247,TWN,251027140,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Tajikistan,2001,tjk,6407377,16.293899782135078,TJK,7189930,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Thailand,2001,tha,63651141,28.13820395738204,THA,336483070,6,0,0,0,2,3,1,0,0,0,0,0,0,0,0
